Year,Value,Observation status,Unit multiplier
2017,27.1665963389,Undefined,Units
2016,40.3886364269982,Undefined,Units
2015,27.381343598892,Undefined,Units
2014,27.259968421844,Undefined,Units
2013,53.1083656436879,Undefined,Units
2012,26.5986496624156,Undefined,Units
