Year,Value
2000,11.848
2001,12.08186
2002,13.32559
2003,13.4005
2004,12.75941
2005,13.00338
2006,12.96017
2007,12.84258
2008,12.73311
2009,12.38475
2010,12.78199
2011,12.46857
2013,12.66024
2014,13.35372
2015,13.49021
2016,13.44864
2017,13.76128
2018,13.34408
