Year,Value
2000,2894.5148
2001,3080.69401
2002,3340.22179
2003,3638.09033
2004,3824.26193
2005,4123.53188
2006,4176.31268
2007,4111.14041
2008,4053.92721
2009,4076.55189
2010,4043.26715
2011,3926.11787
2012,3969.85915
2013,4119.45134
2014,4227.62028
2015,4319.50151
2016,4357.93303
2017,4341.15124
2018,4603.31022
