Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2017,A,0,G,SI_HEI_TOTL,,PT,2.66
2017,A,0,G,SI_HEI_TOTL,B40,PT,1.19
