Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",59.3
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",59.94
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",60.51
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",61.05
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",9.19
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",9.19
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",9.19
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",9.19
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",9.19
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",9.19
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",9.19
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",9.19
