Year,SERIES,Country income classification,Aid description (CRS code),OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,Value
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,GBP,National,593232.2188
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,GBP,National,767594.8459
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,GBP,National,779790.7926
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,GBP,National,822382.886
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,,Normal value,Thousands,GBP,National,1110232.547
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,129800.0982
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,1383.883563
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,131183.9818
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,131421.6251
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,1008.679872
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,132430.305
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,247373.0567
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,11747.41284
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,259120.4696
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,345409.1365
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,23656.99377
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,369066.1303
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,413146.6764
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,6708.451903
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,419855.1283
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,384960.368
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,5048.446672
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,390008.8147
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,274514.8801
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,3275.977286
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,277790.8573
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,312717.6442
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,15256.77932
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,327974.4236
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,242108.4921
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,42591.54586
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,284700.0379
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,199382.599
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,43473.33528
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,242855.9343
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,308661.7488
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,44638.53698
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,353300.2858
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,Constant USD,National,188323.0317
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,Constant USD,National,45055.09775
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,Constant USD,National,233378.1294
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,20294.65199
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,1.570135125
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,20296.22212
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,30321.28513
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,22.50445126
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,30343.78958
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,85860.85706
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,2556.40321
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,88417.26027
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,102793.723
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,3444.067239
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,106237.7902
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,101292.8945
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,824.6206273
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,102117.5152
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,84887.53229
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,984.9935155
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,85872.52581
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,59845.44816
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,3973.766753
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,63819.21491
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,99325.74238
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,4914.895257
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,104240.6376
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,148032.4982
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,21691.71557
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,169724.2137
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,105718.0346
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,27696.06002
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,133414.0946
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,60028.29619
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,27978.68421
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,88006.9804
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,Constant USD,National,70771.98621
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,Constant USD,National,18701.97784
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,Constant USD,National,89473.96405
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,91154.81971
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,688.8015111
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,91843.62122
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,115605.1845
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,3463.36521
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,119068.5497
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,30273.52067
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,2618.06798
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,32891.58865
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,19388.74295
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,2938.007434
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,22326.75039
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,20872.22308
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,1275.604075
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,22147.82716
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,10738.32039
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,2048.313282
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,12786.63368
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,14255.22267
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,15.58119825
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,14270.80386
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,15132.15734
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,142.8459073
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,15275.00325
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,34859.4675
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,6954.873072
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,41814.34057
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,22799.16548
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,666.8697833
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,23466.03527
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,26149.82674
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,799.3506891
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,26949.17743
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Basic health,Normal value,Thousands,Constant USD,National,25497.97295
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,Medical research,Normal value,Thousands,Constant USD,National,697.5404303
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Other LICs,,Normal value,Thousands,Constant USD,National,26195.51338
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,1178.744646
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,1178.744646
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,334.7086736
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,334.7086736
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,3224.034802
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,3459.529514
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,6683.564316
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,3124.806055
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,2699.418835
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,5824.224891
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,17815.16188
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,1819.710413
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,19634.87229
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,566.5723244
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,566.5723244
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,2551.039471
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,6387.354409
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,8938.39388
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,10817.39412
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,8921.56029
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,19738.95441
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,3032.211895
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,20026.59224
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,23058.80414
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,2350.229175
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,29590.88654
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,31941.11572
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,5271.127922
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,22492.66681
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,27763.79473
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Basic health,Normal value,Thousands,Constant USD,National,13747.1329
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,Medical research,Normal value,Thousands,Constant USD,National,17017.5658
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",UMICs,,Normal value,Thousands,Constant USD,National,30764.6987
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,142814.2166
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,29921.71447
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,172735.931
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,126271.6696
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,78933.48317
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,205205.1528
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,254769.524
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,79536.60824
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,334306.1323
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,213949.5853
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,88656.16518
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,302605.7505
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,497527.1951
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,100143.6896
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,597670.8847
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,338620.1646
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,83985.14742
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,422605.312
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,283813.4927
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,105138.5605
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,388952.0531
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,228220.0144
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,110221.9333
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,338441.9476
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,265463.224
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,237893.5793
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,503356.8033
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,237350.5536
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,347017.8502
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,584368.4038
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,223017.8628
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,330455.1173
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,,Normal value,Thousands,Constant USD,National,553472.9801
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Basic health,Normal value,Thousands,Constant USD,National,589780.2859
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",Unspecified,Medical research,Normal value,Thousands,Constant USD,National,368002.5942
