Year,SERIES,Country income classification,Aid description (CRS code),OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,Value
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,13313.18
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,1.03
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,13314.21
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,20210.19183
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,15.0
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,20225.19183
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,58412.37873
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,1739.157954
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,60151.53668
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,71090.049
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,2381.846884
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,73471.89588
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,71299.36344
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Medical research,Normal value,Thousands,GBP,National,580.44472
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,,Normal value,Thousands,GBP,National,71879.80816
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LMICs,Basic health,Normal value,Thousands,GBP,National,60786.24029
