Year,SOURCE_DETAIL,Sex,Composite breakdown,Source details,Value
2017,Eurostat,Female,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Eurostat,55.57215
2014,Eurostat,Female,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,50.6485
2015,Eurostat,Female,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,38.3587
2016,Eurostat,Female,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,45.6224
2017,Eurostat,Female,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,40.76794
2014,Eurostat,Female,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,62.1218
2015,Eurostat,Female,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,47.7293
2016,Eurostat,Female,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,51.4755
2017,Eurostat,Female,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,47.39474
2014,Eurostat,Male,Skill: ICT Skill: connecting and installing new devices,Eurostat,57.67
2014,Eurostat,Male,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,73.9344
2015,Eurostat,Male,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,65.2563
2016,Eurostat,Male,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,66.4323
2017,Eurostat,Male,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,66.49668
2014,Eurostat,Male,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,73.3167
2015,Eurostat,Male,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,62.4228
2016,Eurostat,Male,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,63.5263
2017,Eurostat,Male,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,64.11784
2014,Eurostat,Male,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,17.2792
2015,Eurostat,Male,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,9.3067
2016,Eurostat,Male,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,10.5746
2017,Eurostat,Male,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,12.92692
2014,Eurostat,Male,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,47.2455
2015,Eurostat,Male,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,46.926
2016,Eurostat,Male,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,47.0772
2017,Eurostat,Male,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,51.45726
2015,Eurostat,Male,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Eurostat,63.341
2016,Eurostat,Male,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Eurostat,63.7872
2017,Eurostat,Male,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Eurostat,62.91898
2014,Eurostat,Male,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,55.3427
2015,Eurostat,Male,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,46.991
2016,Eurostat,Male,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,48.4689
2017,Eurostat,Male,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,50.78559
2014,Eurostat,Male,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,67.6613
2015,Eurostat,Male,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,55.9882
2016,Eurostat,Male,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,57.4203
2017,Eurostat,Male,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,60.35752
